Quarter,Minute,Second,Down,ToGo,SeriesFirstDown,Yards,Formation,PlayType,PassType,RushDirection,YardLineFixed,YardLineDirection
3,14,31,2,8,1,24,UNDER CENTER,PASS,SHORT MIDDLE,,27,OWN
3,9,20,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
3,7,3,1,10,0,8,UNDER CENTER,RUSH,,RIGHT END,24,OWN
3,6,46,2,2,0,0,UNDER CENTER,PASS,SHORT RIGHT,,32,OWN
3,6,42,3,2,1,4,SHOTGUN,PASS,SHORT RIGHT,,32,OWN
3,6,11,1,10,0,4,UNDER CENTER,RUSH,,CENTER,36,OWN
3,5,45,2,6,1,7,UNDER CENTER,RUSH,,RIGHT GUARD,40,OWN
3,5,13,1,10,0,26,SHOTGUN,RUSH,,RIGHT TACKLE,47,OWN
3,3,42,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
3,1,18,1,10,0,9,UNDER CENTER,PASS,SHORT RIGHT,,5,OWN
3,0,44,2,1,0,-2,UNDER CENTER,RUSH,,RIGHT TACKLE,14,OWN
3,0,4,3,3,0,0,SHOTGUN,PASS,SHORT LEFT,,12,OWN
4,15,0,4,3,0,0,PUNT,PUNT,,,12,OWN
4,11,52,1,10,0,0,SHOTGUN,RUSH,,LEFT TACKLE,25,OWN
4,11,27,2,10,1,53,UNDER CENTER,PASS,DEEP MIDDLE,,25,OWN
4,8,39,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
4,4,38,1,10,0,25,SHOTGUN,PASS,SHORT MIDDLE,,25,OWN
4,2,15,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
3,14,54,1,10,1,28,SHOTGUN,PASS,DEEP LEFT,,22,OWN
3,8,31,1,10,0,4,SHOTGUN,PASS,SHORT RIGHT,,20,OWN
3,7,59,2,6,0,1,SHOTGUN,RUSH,,CENTER,24,OWN
3,7,23,3,5,1,7,SHOTGUN,PASS,SHORT MIDDLE,,25,OWN
3,6,40,1,10,0,0,SHOTGUN,PASS,DEEP LEFT,,32,OWN
3,6,35,2,10,0,-4,SHOTGUN,RUSH,,CENTER,32,OWN
3,5,51,3,14,0,72,SHOTGUN,PASS,DEEP MIDDLE,,28,OWN
3,5,41,3,24,0,8,SHOTGUN,PASS,SHORT RIGHT,,18,OWN
3,5,4,4,16,0,0,PUNT,PUNT,,,26,OWN
3,2,14,1,10,0,9,SHOTGUN,PASS,SHORT LEFT,,45,OPP
4,12,37,1,10,0,1,SHOTGUN,RUSH,,RIGHT GUARD,35,OWN
4,11,59,2,9,0,0,SHOTGUN,PASS,SHORT LEFT,,36,OWN
4,11,55,3,9,0,0,SHOTGUN,PASS,SHORT LEFT,,36,OWN
4,11,51,4,9,0,0,PUNT,PUNT,,,36,OWN
4,6,25,1,10,0,6,SHOTGUN,RUSH,,CENTER,11,OWN
4,5,50,2,4,1,7,SHOTGUN,PASS,SHORT LEFT,,17,OWN
4,5,5,1,10,0,3,UNDER CENTER,RUSH,,CENTER,24,OWN
4,4,21,2,7,0,16,SHOTGUN,RUSH,,LEFT END,27,OWN
4,4,15,2,14,0,10,SHOTGUN,PASS,SHORT RIGHT,,20,OWN
4,3,32,3,4,1,34,SHOTGUN,PASS,DEEP RIGHT,,30,OWN
4,0,22,2,9,0,0,UNDER CENTER,QB KNEEL,,,23,OPP
1,15,0,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
1,10,21,1,10,0,4,SHOTGUN,RUSH,,RIGHT GUARD,25,OWN
1,9,43,2,6,1,8,SHOTGUN,PASS,SHORT MIDDLE,,29,OWN
1,9,2,1,10,0,0,SHOTGUN,PASS,DEEP RIGHT,,37,OWN
1,8,55,1,10,0,5,SHOTGUN,PASS,SHORT RIGHT,,42,OWN
1,8,20,2,5,0,-4,SHOTGUN,RUSH,,RIGHT END,47,OWN
1,7,34,3,9,0,0,SHOTGUN,PASS,DEEP LEFT,,43,OWN
1,7,29,4,9,0,0,PUNT,PUNT,,,43,OWN
1,4,40,1,10,0,4,SHOTGUN,PASS,SHORT RIGHT,,20,OWN
1,4,5,2,6,0,0,SHOTGUN,PASS,DEEP RIGHT,,24,OWN
1,3,59,3,6,1,11,SHOTGUN,PASS,SHORT MIDDLE,,24,OWN
1,3,27,1,10,0,-1,SHOTGUN,RUSH,,LEFT TACKLE,35,OWN
1,2,51,2,11,0,0,SHOTGUN,PASS,DEEP MIDDLE,,34,OWN
1,2,47,3,11,0,-1,SHOTGUN,PASS,SHORT LEFT,,34,OWN
1,2,11,4,12,0,0,PUNT,PUNT,,,33,OWN
1,1,5,1,10,0,0,SHOTGUN,PASS,SHORT LEFT,,28,OWN
1,1,0,1,10,0,8,UNDER CENTER,PASS,SHORT RIGHT,,43,OWN
2,14,55,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
2,12,23,1,10,0,0,UNDER CENTER,PASS,SHORT RIGHT,,5,OWN
2,12,20,2,10,1,14,SHOTGUN,PASS,SHORT LEFT,,5,OWN
2,11,42,1,10,0,0,SHOTGUN,PASS,DEEP LEFT,,19,OWN
2,11,37,2,10,0,6,SHOTGUN,RUSH,,RIGHT END,19,OWN
2,11,2,3,4,0,0,SHOTGUN,NO PLAY,,,25,OWN
2,11,2,1,10,1,15,SHOTGUN,PASS,SHORT LEFT,,30,OWN
2,10,21,1,10,0,0,SHOTGUN,PASS,SHORT MIDDLE,,45,OWN
2,10,17,2,10,0,1,UNDER CENTER,RUSH,,RIGHT TACKLE,45,OWN
2,9,31,3,9,1,11,SHOTGUN,PASS,SHORT MIDDLE,,46,OWN
2,5,51,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
2,3,33,1,10,0,-1,SHOTGUN,RUSH,,CENTER,6,OWN
2,2,54,2,11,1,32,SHOTGUN,PASS,SHORT RIGHT,,5,OWN
2,2,14,1,10,1,43,SHOTGUN,PASS,DEEP MIDDLE,,37,OWN
2,1,41,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
2,0,40,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
4,8,29,1,10,1,21,UNDER CENTER,RUSH,,LEFT END,41,OWN
4,3,49,0,0,1,0,UNDER CENTER,TIMEOUT,,,0,OWN
4,3,45,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
4,1,56,0,0,1,0,UNDER CENTER,,,,0,OWN
4,1,22,1,10,0,0,UNDER CENTER,QB KNEEL,,,25,OWN
4,0,41,2,10,0,0,UNDER CENTER,QB KNEEL,,,25,OWN
1,14,55,1,10,0,-4,UNDER CENTER,RUSH,,RIGHT GUARD,24,OWN
1,14,25,2,14,0,5,UNDER CENTER,PASS,SHORT RIGHT,,20,OWN
1,13,51,3,9,0,0,SHOTGUN,PASS,SHORT LEFT,,25,OWN
1,13,45,1,10,0,5,UNDER CENTER,RUSH,,RIGHT END,30,OWN
1,12,59,2,5,0,0,UNDER CENTER,NO PLAY,,,35,OWN
1,12,40,1,10,0,5,UNDER CENTER,RUSH,,LEFT TACKLE,40,OWN
1,12,10,2,5,1,20,UNDER CENTER,PASS,SHORT MIDDLE,,45,OWN
1,11,21,0,0,1,0,UNDER CENTER,KICK OFF,,,35,OWN
1,9,49,1,10,0,3,UNDER CENTER,RUSH,,LEFT END,23,OWN
1,9,27,1,17,0,0,UNDER CENTER,PASS,SHORT LEFT,,16,OWN
1,9,23,2,17,0,13,SHOTGUN,RUSH,,LEFT END,16,OWN
1,8,58,3,4,0,0,SHOTGUN,PASS,SHORT RIGHT,,29,OWN
